Rk,Player,WS,MP,ORtg,DRtg,BPM,PER,VORP,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
1,Jimmy Butler,3.8,37.0,127,104,11.8,29.9,2.2,3.8,2021-22,32,MIA,17,17,37.0,9.8,19.3,8.4,15.3,1.4,4.0,6.5,7.8,2.4,4.9,7.4,4.6,2.1,0.6,1.5,1.5,27.4,.506,.550,.338,.841,.604,.541,F-G,butleji01
2,Stephen Curry,3.2,34.7,119,110,7.7,24.4,1.9,3.2,2021-22,33,GSW,22,18,34.7,9.2,20.0,5.0,9.6,4.1,10.4,4.9,5.9,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,.459,.526,.397,.829,.606,.563,G,curryst01
3,Al Horford,3.2,35.4,129,104,6.0,16.6,1.7,3.2,2021-22,35,BOS,23,23,35.4,4.4,8.4,2.3,4.1,2.0,4.3,1.2,1.6,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,.523,.568,.480,.778,.663,.645,C-F,horfoal01
4,Jayson Tatum,2.2,41.0,107,107,4.5,17.6,1.6,2.2,2021-22,23,BOS,24,24,41.0,8.4,19.7,5.2,11.5,3.2,8.2,5.7,7.1,1.0,5.7,6.7,6.2,1.2,0.9,4.2,3.0,25.6,.426,.449,.393,.800,.562,.507,F,tatumja01
5,Jaylen Brown,2.2,38.3,109,108,2.6,17.2,1.1,2.2,2021-22,25,BOS,24,24,38.3,8.2,17.5,5.7,10.8,2.5,6.7,4.2,5.5,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3.0,23.1,.470,.531,.373,.763,.581,.542,F-G,brownja02
6,Bam Adebayo,2.2,34.1,120,106,2.9,17.9,0.8,2.2,2021-22,24,MIA,18,18,34.1,5.8,9.7,5.8,9.7,0.0,0.1,3.2,4.2,2.1,5.9,8.0,2.7,1.0,0.7,2.1,3.1,14.8,.594,.598,.000,.763,.638,.594,C-F,adebaba01
7,Robert Williams,2.1,23.2,147,102,5.9,21.7,0.8,2.1,2021-22,24,BOS,17,15,23.2,3.1,4.6,3.1,4.5,0.0,0.1,1.5,1.6,2.5,3.6,6.2,1.0,0.7,2.2,0.6,2.0,7.7,.679,.688,.000,.893,.725,.679,C-F,williro04
8,Kevon Looney,1.9,20.4,139,109,3.1,18.3,0.6,1.9,2021-22,25,GSW,22,13,20.4,2.6,4.0,2.6,4.0,0.0,0.0,0.5,0.8,2.9,4.8,7.6,2.2,0.4,0.5,0.9,2.3,5.8,.659,.659,,.611,.662,.659,F-C,looneke01
9,Jordan Poole,1.9,27.5,119,113,2.8,18.8,0.7,1.9,2021-22,22,GSW,22,5,27.5,5.9,11.5,3.6,5.7,2.3,5.8,3.0,3.2,0.5,2.4,2.8,3.8,0.8,0.4,2.4,2.8,17.0,.508,.627,.391,.915,.654,.606,G,poolejo01
10,Luka Dončić,1.9,36.8,111,108,9.3,28.6,1.6,1.9,2021-22,22,DAL,15,15,36.8,10.7,23.5,7.3,13.6,3.4,9.9,6.9,9.0,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,.455,.534,.345,.770,.577,.527,G-F,doncilu01
11,Chris Paul,1.8,34.5,130,117,4.9,22.8,0.8,1.8,2021-22,36,PHO,13,13,34.5,6.7,11.9,5.2,8.2,1.5,3.8,2.7,2.8,0.5,3.6,4.2,8.3,1.5,0.2,2.4,3.1,17.5,.561,.642,.388,.946,.666,.623,G,paulch01
12,Andrew Wiggins,1.7,34.9,112,110,0.8,16.0,0.5,1.7,2021-22,26,GSW,22,22,34.9,6.5,13.9,4.9,9.1,1.6,4.8,1.9,3.0,2.5,5.0,7.5,1.8,1.0,1.0,1.4,2.5,16.5,.469,.540,.333,.646,.544,.526,F-G,wiggian01
13,Giannis Antetokounmpo,1.7,37.3,108,99,10.4,26.8,1.4,1.7,2021-22,27,MIL,12,12,37.3,11.7,23.8,10.9,20.3,0.8,3.4,7.6,11.2,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7,.491,.537,.220,.679,.552,.507,F-G,antetgi01
14,Jalen Brunson,1.6,34.9,115,116,1.5,20.1,0.6,1.6,2021-22,25,DAL,18,18,34.9,8.1,17.3,6.6,13.1,1.4,4.2,4.0,5.0,0.8,3.8,4.6,3.7,0.8,0.1,1.1,2.1,21.6,.466,.504,.347,.800,.553,.508,G,brunsja01
15,P.J. Tucker,1.6,28.3,127,108,2.2,12.9,0.5,1.6,2021-22,36,MIA,18,18,28.3,3.0,6.1,1.7,3.2,1.3,2.8,0.6,0.9,1.9,3.7,5.7,1.8,0.8,0.3,0.7,2.8,7.9,.495,.534,.451,.688,.612,.601,F,tuckepj01
16,Dorian Finney-Smith,1.5,38.2,125,116,1.0,12.6,0.5,1.5,2021-22,28,DAL,18,18,38.2,4.1,8.7,1.6,2.7,2.6,6.0,0.9,1.3,1.8,3.7,5.5,1.9,0.9,0.4,1.0,2.9,11.7,.471,.571,.426,.708,.630,.618,F,finnedo01
17,Marcus Smart,1.5,36.2,107,109,0.3,13.1,0.4,1.5,2021-22,27,BOS,21,21,36.2,5.4,13.3,3.1,6.8,2.3,6.5,2.4,3.0,1.0,3.6,4.5,5.9,1.2,0.2,2.5,3.4,15.4,.405,.458,.350,.806,.529,.491,G,smartma01
18,Grant Williams,1.4,27.3,116,110,-0.8,9.5,0.2,1.4,2021-22,23,BOS,24,5,27.3,2.7,6.3,1.3,2.5,1.5,3.7,1.8,2.2,1.0,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,.433,.492,.393,.808,.599,.550,F,willigr01
19,Brandon Clarke,1.4,24.7,133,108,4.8,22.4,0.5,1.4,2021-22,25,MEM,12,0,24.7,4.7,7.6,4.7,7.5,0.0,0.1,3.0,4.5,3.1,3.8,6.9,2.0,0.8,0.8,1.0,1.9,12.3,.615,.622,.000,.667,.645,.615,F,clarkbr01
20,Deandre Ayton,1.4,30.5,125,115,3.6,23.5,0.6,1.4,2021-22,23,PHO,13,13,30.5,8.1,12.6,7.9,12.3,0.2,0.3,1.6,2.5,2.5,6.4,8.9,1.7,0.4,0.8,1.5,2.6,17.9,.640,.644,.500,.636,.653,.646,C,aytonde01
21,Draymond Green,1.4,32.0,108,108,0.9,12.3,0.5,1.4,2021-22,31,GSW,22,22,32.0,3.1,6.5,2.8,4.8,0.4,1.8,1.4,2.1,1.2,6.0,7.2,6.3,1.1,1.0,2.7,4.0,8.0,.479,.581,.205,.638,.534,.507,F,greendr01
22,Ja Morant,1.3,37.6,115,106,8.4,24.3,0.9,1.3,2021-22,22,MEM,9,9,37.6,9.0,20.4,7.1,14.9,1.9,5.6,7.2,9.7,1.4,6.6,8.0,9.8,2.0,0.4,3.6,2.4,27.1,.440,.478,.340,.747,.549,.486,G,moranja01
23,Desmond Bane,1.3,35.7,123,111,3.5,16.0,0.6,1.3,2021-22,23,MEM,12,12,35.7,6.3,13.3,2.8,5.9,3.6,7.3,2.5,2.9,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8,.478,.465,.489,.857,.645,.613,G,banede01
24,Tyrese Maxey,1.3,40.4,120,116,2.1,16.9,0.5,1.3,2021-22,21,PHI,12,12,40.4,7.3,15.2,5.2,9.4,2.2,5.8,3.9,4.2,0.5,3.0,3.5,3.9,0.8,0.2,1.8,2.0,20.8,.484,.549,.377,.940,.610,.555,G,maxeyty01
25,Klay Thompson,1.3,36.0,108,112,0.7,14.1,0.6,1.3,2021-22,31,GSW,22,22,36.0,7.2,16.7,3.7,7.6,3.5,9.1,1.2,1.4,0.3,3.6,3.9,2.3,1.1,0.7,1.3,2.1,19.0,.429,.482,.385,.867,.550,.534,G-F,thompkl01
26,Maxi Kleber,1.2,25.4,130,115,2.2,14.0,0.5,1.2,2021-22,30,DAL,18,0,25.4,3.0,5.9,1.1,1.6,1.9,4.3,0.8,1.2,0.8,3.7,4.6,1.1,0.2,0.8,0.6,2.7,8.7,.509,.714,.436,.714,.681,.670,F,klebima01
27,Reggie Bullock,1.2,39.3,120,115,0.4,10.1,0.4,1.2,2021-22,30,DAL,18,18,39.3,3.4,8.4,0.5,1.1,2.9,7.3,0.9,1.0,0.4,4.1,4.6,1.7,1.2,0.1,0.4,2.7,10.6,.404,.450,.397,.889,.598,.576,G-F,bullore01
28,Tobias Harris,1.2,38.8,115,110,3.0,16.2,0.6,1.2,2021-22,29,PHI,12,12,38.8,6.8,13.5,4.9,8.8,1.8,4.8,1.6,1.8,0.8,6.8,7.6,2.9,1.1,0.8,1.5,2.9,16.9,.500,.562,.386,.864,.591,.568,F,harrito02
29,James Harden,1.1,39.9,113,114,1.9,16.8,0.5,1.1,2021-22,32,PHI,12,12,39.9,5.3,13.2,3.0,6.8,2.3,6.3,5.6,6.3,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6,.405,.439,.368,.893,.584,.494,G,hardeja01
30,Brook Lopez,1.1,27.7,115,102,1.0,15.0,0.2,1.1,2021-22,33,MIL,12,12,27.7,4.2,8.5,3.7,6.2,0.5,2.3,1.8,1.9,2.3,3.7,5.9,0.7,0.5,1.5,0.9,2.8,10.6,.490,.595,.214,.913,.566,.520,C,lopezbr01
31,Spencer Dinwiddie,1.1,27.8,114,116,1.4,16.6,0.4,1.1,2021-22,28,DAL,18,3,27.8,4.4,10.7,2.2,5.3,2.2,5.3,3.1,3.7,0.4,2.0,2.4,3.6,0.8,0.3,1.6,2.3,14.2,.417,.417,.417,.821,.576,.521,G,dinwisp01
32,Otto Porter Jr.,1.0,19.5,125,109,2.7,13.0,0.4,1.0,2021-22,28,GSW,19,3,19.5,2.0,4.1,1.0,1.6,1.0,2.5,0.4,0.5,0.6,2.8,3.4,1.8,0.9,0.3,0.6,1.8,5.4,.494,.633,.404,.778,.630,.617,F,porteot01
33,Gary Payton II,1.0,16.9,146,106,7.4,20.6,0.5,1.0,2021-22,29,GSW,12,2,16.9,2.4,3.7,1.8,2.4,0.7,1.3,1.0,1.5,1.1,2.0,3.1,1.3,1.2,0.6,0.5,1.9,6.5,.659,.724,.533,.667,.751,.750,G,paytoga02
34,Pat Connaughton,1.0,26.5,120,105,2.2,12.2,0.3,1.0,2021-22,29,MIL,12,0,26.5,3.5,7.3,1.4,2.0,2.1,5.3,0.4,0.4,0.3,4.0,4.3,0.9,0.4,0.3,0.6,1.2,9.5,.477,.708,.391,1.000,.632,.619,G,connapa01
35,Mikal Bridges,0.9,38.5,121,117,1.4,13.8,0.4,0.9,2021-22,25,PHO,13,13,38.5,5.1,10.6,4.1,8.1,1.0,2.5,2.2,2.3,0.9,3.8,4.7,2.8,1.1,1.0,0.8,2.4,13.3,.478,.505,.394,.933,.572,.525,F-G,bridgmi01
36,Joel Embiid,0.9,38.5,111,111,0.1,19.1,0.2,0.9,2021-22,27,PHI,10,10,38.5,7.8,16.1,7.1,12.8,0.7,3.3,7.3,8.9,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6,.484,.555,.212,.820,.590,.506,C,embiijo01
